source_id,ra,dec,parallax,pmra,pmdec,ruwe,bp_rp,phot_g_mean_mag,radial_velocity,has_rvs,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot
990264706492917760,110.71868222937975,57.83569106407454,5.021035591811116,-24.49660945458839,-37.623954469073475,0.8931059,0.8142252,11.122582,-11.299696,false,5785.87,4.4001,0.0046,196.5814
990273502585929856,110.8228659367558,58.02979417160393,11.959522429275424,-5.426482108646301,-87.82132638709926,0.9749368,0.86800575,9.495588,-10.000197,false,5734.6606,4.4941,0.1717,83.3478
990844114760515840,102.7274928080225,49.066863115390234,21.073807664168694,-69.26674027893256,20.02588629082539,1.0176656,0.81112003,8.049981,1.6538117,false,5661.352,4.3815,-0.3441,47.404
991088339485440640,101.21871414820185,49.35206552725816,5.690730614165641,7.520640839486257,-33.475259007498636,0.9435356,0.8873329,11.25024,-11.438754,false,5516.9976,4.4425,-0.3314,174.289
991882947091023360,101.40716050937573,52.08403422910094,6.327281352676085,-42.06099402497714,-101.53137571606801,1.0743202,0.8365774,10.313121,24.938942,false,5677.848,4.2152,-0.0453,156.8791
992524409046563840,100.2043399149397,51.97702807022242,23.442273189652596,0.3099157686708267,-291.82242725202036,0.9738451,0.8063011,7.4533987,27.846495,false,5694.1733,4.2151,-0.1053,42.6691
993544339223785472,101.46673214206814,53.474455293924194,7.541092864795261,-43.28154367447641,-12.277511388587198,1.0492853,0.8358116,10.354062,-31.069992,false,5847.5923,4.4805,0.1185,131.3404
996182823532512000,95.22754172660835,54.212914324231654,6.563357725164724,-2.430741310215325,-39.390440534467935,0.8785467,0.8518009,10.821103,-1.3608525,false,5744.5737,4.4684,-0.0407,151.1302
996818276830167936,90.8555219000612,54.650614881605954,5.497836254412235,26.86292919871616,5.107571806355412,0.88748056,0.8482342,10.661517,-65.71576,false,5706.917,4.2481,0.0314,180.2362
998262794592645248,98.04118128141258,57.036137473930886,6.433379199815026,-24.914113383530527,-96.52198873773841,1.249509,0.8156824,10.866197,40.449734,false,5695.7803,4.4243,-0.2368,154.0594
999493526060671360,93.18392941322534,59.23355689250209,5.835131307152603,25.182974000460824,-16.02739279771951,1.2035666,0.811965,10.542507,-45.882576,false,5861.8115,4.3952,0.286,169.1957
999507819711045888,92.26989550656423,59.36328797446268,5.63336922029704,-19.46143010526743,-82.22128864689239,0.98424184,0.8158436,10.793826,6.6378946,false,5663.6245,4.3626,-0.217,176.3474
999849218071994496,104.91838762631708,55.14029383052047,5.990838332409502,-56.09437782729,-34.30203724871799,1.0154994,0.8295622,11.047953,13.630515,false,5702.7856,4.4622,-0.131,165.1941
1000421990614084480,105.26482494998696,56.69773906444005,5.358583368182188,-29.54723827648533,-42.41971429604912,0.9148025,0.8413906,11.235844,23.62366,false,5643.1064,4.4213,-0.0975,184.2472
1000880693120609408,102.70320464696096,58.29951478322198,3.8351947426126882,4.4822949447435025,-34.095368456309906,1.6512398,0.831542,11.816383,21.951984,false,5804.5005,4.4577,-0.0169,253.5343
1000887191407416832,102.72674640500821,58.384933205021404,6.0160314621257935,-7.60354077889431,-56.745587447659986,1.1028728,0.85088634,10.895168,38.060394,false,5699.6245,4.4316,0.0606,164.0935
1000894372592697088,103.39256204506056,58.28319544009366,5.057877676445648,0.17637537772098888,-77.8062799858584,0.9941665,0.82775784,10.997109,11.003735,false,5755.429,4.3585,0.0788,193.9108
1001140938075646848,100.82905125281198,57.17371992590818,5.268510529801455,-24.237411050271888,-41.4361257545651,1.5066384,0.8251171,11.303516,9.711548,false,5641.5425,4.428,-0.1843,186.1651
1001174301381537408,101.2640055835704,57.603434464463014,3.269396020495218,-13.87906006593255,-62.55697000545226,1.4294932,0.85606,11.867479,1.8822739,false,5574.6455,4.3139,-0.4075,299.6332
1001333691911451648,98.63750024334088,57.82948588180854,7.21561679571625,180.12671308784778,-14.552362525883776,7.0185337,0.84242916,10.025504,-62.790756,false,,,,
1002020543084805376,99.55712271419142,59.82852645499265,4.654484458670417,-8.95684886181505,-61.38719078206894,3.4535882,0.9352579,11.706025,25.905031,false,5519.006,4.4083,-0.5031,214.5796
1002527353518467712,104.5191185558645,59.579303463183344,6.007079735206207,11.181874121627287,-38.75337114276544,1.0586747,0.8395052,10.938518,28.5578,false,5728.657,4.4804,0.0985,164.5892
1003200151556457472,102.0134896749581,59.30566866394564,4.477106689404921,-20.46528489266199,-29.110973337804417,1.096446,0.8882847,11.834472,7.695423,false,5682.9062,4.5366,0.05,220.3255
1003539728849727744,100.05723254884767,60.36364074648383,5.852078998896328,0.22675692768451583,-37.72615821416553,0.9166137,0.7802315,10.675168,-1.1129508,false,5809.397,4.39,-0.0842,170.4771
1004113497824797952,99.86162621479839,62.01032249691068,8.92918773540753,-21.290691008784265,-113.23454259960043,1.022678,0.8268118,10.01957,14.000001,false,5645.914,4.4143,-0.2111,111.7526
1005223252950834304,95.11125141829216,60.26295637945059,6.644084582242392,26.724687282487793,-11.56497051657026,0.94526905,0.8192482,10.68436,-75.90055,false,5693.917,4.3794,-0.2077,149.581
